animal_id,hr_size_sq_km,hr_low_ci_sq_km,hr_high_ci_sq_km,protected_area,sex
angaf3,70.3003563,63.44495358,77.50238852,national,female
enegf4,148.5979651,116.8711555,184.0770205,community,female
enehf1,33.36570047,28.40480739,38.71998632,community,female
isecf4,29.05485491,27.24260763,30.92463236,community,female
jua,74.93628397,69.36437728,80.72037817,national,female
kito,92.47221881,84.60065558,100.6889174,national,female
kwsf5,79.44199637,72.22566981,86.99699863,national,female
molaf1,66.58377416,60.73184533,72.70100936,community,female
napono,84.06218749,76.46204295,92.01726457,community,female
naserian,102.2657875,91.70691033,113.3916936,national,female
normoti,36.79648755,34.05746105,39.63994016,community,female
ole_cook,66.88959669,61.9579661,72.007386,community,male
olodf4,136.1056674,122.3031152,150.6355157,national,female
olsaf1,41.75159518,32.12607755,52.61915518,community,female
osopia,101.2961542,86.0592991,117.7565858,national,male
Samara,96.08688583,85.57043671,107.2040026,national,female
