"animal_id","covariate","beta","beta_lwr","beta_upr","se","p_value","odds_ratio","or_lwr","or_upr"
"angaf3","roads",-0.488,-0.512,-0.464,0.012,0,0.614,0.599,0.629
"angaf3","rivers",0.016,-0.004,0.036,0.01,0.112,1.016,0.996,1.037
"angaf3","dem",0.145,0.125,0.164,0.01,0,1.156,1.134,1.178
"angaf3","settlement",0.078,0.057,0.098,0.01,0,1.081,1.059,1.103
"enegf4","roads",-0.154,-0.191,-0.118,0.019,0,0.857,0.826,0.889
"enegf4","rivers",-0.59,-0.634,-0.546,0.022,0,0.554,0.531,0.579
"enegf4","dem",0.135,0.102,0.169,0.017,0,1.145,1.107,1.184
"enegf4","settlement",-0.266,-0.303,-0.229,0.019,0,0.767,0.739,0.795
"enehf1","roads",-0.547,-0.599,-0.495,0.027,0,0.579,0.549,0.61
"enehf1","rivers",-0.605,-0.652,-0.558,0.024,0,0.546,0.521,0.572
"enehf1","dem",0.148,0.113,0.183,0.018,0,1.159,1.119,1.201
"enehf1","settlement",-0.211,-0.248,-0.175,0.019,0,0.809,0.78,0.84
"isecf4","roads",-0.22,-0.247,-0.193,0.014,0,0.803,0.781,0.824
"isecf4","rivers",-0.721,-0.751,-0.69,0.015,0,0.486,0.472,0.501
"isecf4","dem",0.117,0.097,0.137,0.01,0,1.124,1.101,1.146
"isecf4","settlement",0.453,0.428,0.477,0.012,0,1.573,1.535,1.612
"jua","roads",-0.112,-0.13,-0.095,0.009,0,0.894,0.878,0.909
"jua","rivers",-0.49,-0.508,-0.473,0.009,0,0.612,0.602,0.623
"jua","dem",-0.02,-0.034,-0.005,0.008,0.009,0.981,0.966,0.995
"jua","settlement",0.525,0.51,0.54,0.008,0,1.691,1.665,1.717
"kito","roads",-0.021,-0.04,-0.002,0.01,0.028,0.979,0.961,0.998
"kito","rivers",-0.61,-0.635,-0.585,0.013,0,0.543,0.53,0.557
"kito","dem",-0.012,-0.03,0.006,0.009,0.186,0.988,0.971,1.006
"kito","settlement",0.216,0.197,0.234,0.009,0,1.241,1.218,1.264
"kwsf5","roads",-0.404,-0.425,-0.383,0.011,0,0.668,0.654,0.682
"kwsf5","rivers",-0.3,-0.323,-0.277,0.012,0,0.741,0.724,0.758
"kwsf5","dem",0.099,0.083,0.116,0.008,0,1.104,1.086,1.123
"kwsf5","settlement",0.098,0.076,0.119,0.011,0,1.103,1.079,1.127
"molaf1","roads",-0.112,-0.131,-0.093,0.01,0,0.894,0.878,0.911
"molaf1","rivers",-0.314,-0.335,-0.294,0.011,0,0.73,0.715,0.746
"molaf1","dem",0.213,0.195,0.23,0.009,0,1.237,1.216,1.259
"molaf1","settlement",0.01,-0.007,0.028,0.009,0.253,1.01,0.993,1.028
"napono","roads",-0.086,-0.106,-0.066,0.01,0,0.918,0.899,0.936
"napono","rivers",-1.14,-1.172,-1.108,0.016,0,0.32,0.31,0.33
"napono","dem",0.09,0.072,0.109,0.009,0,1.095,1.075,1.115
"napono","settlement",0.297,0.278,0.315,0.009,0,1.345,1.321,1.37
"naserian","roads",-0.066,-0.084,-0.048,0.009,0,0.936,0.92,0.953
"naserian","rivers",-0.483,-0.509,-0.456,0.013,0,0.617,0.601,0.634
"naserian","dem",0.088,0.072,0.105,0.008,0,1.092,1.074,1.111
"naserian","settlement",0.294,0.271,0.316,0.011,0,1.341,1.311,1.372
"normoti","roads",-0.023,-0.041,-0.006,0.009,0.009,0.977,0.96,0.994
"normoti","rivers",-0.296,-0.314,-0.277,0.009,0,0.744,0.73,0.758
"normoti","dem",0.054,0.037,0.072,0.009,0,1.056,1.038,1.074
"normoti","settlement",0.265,0.247,0.282,0.009,0,1.303,1.28,1.326
"ole_cook","roads",-0.14,-0.16,-0.119,0.01,0,0.87,0.852,0.887
"ole_cook","rivers",-0.248,-0.264,-0.231,0.008,0,0.781,0.768,0.794
"ole_cook","dem",0.155,0.141,0.17,0.008,0,1.168,1.151,1.186
"ole_cook","settlement",0.748,0.731,0.765,0.009,0,2.113,2.078,2.149
"olodf4","roads",-0.175,-0.192,-0.157,0.009,0,0.84,0.825,0.855
"olodf4","rivers",-0.305,-0.324,-0.286,0.01,0,0.737,0.723,0.751
"olodf4","dem",-0.096,-0.112,-0.08,0.008,0,0.909,0.894,0.923
"olodf4","settlement",-0.072,-0.088,-0.057,0.008,0,0.93,0.916,0.945
"olsaf1","roads",-0.208,-0.241,-0.175,0.017,0,0.812,0.786,0.839
"olsaf1","rivers",0.136,0.106,0.165,0.015,0,1.145,1.112,1.18
"olsaf1","dem",0.04,0.012,0.068,0.014,0.005,1.041,1.012,1.07
"olsaf1","settlement",0.2,0.173,0.228,0.014,0,1.222,1.189,1.256
"osopia","roads",0.177,0.133,0.221,0.022,0,1.193,1.142,1.247
"osopia","rivers",-0.004,-0.038,0.03,0.017,0.825,0.996,0.963,1.031
"osopia","dem",-0.087,-0.119,-0.055,0.016,0,0.917,0.888,0.947
"osopia","settlement",-0.04,-0.085,0.005,0.023,0.083,0.961,0.919,1.005
"Samara","roads",0.189,0.173,0.205,0.008,0,1.208,1.189,1.228
"Samara","rivers",-0.485,-0.507,-0.462,0.012,0,0.616,0.602,0.63
"Samara","dem",0.015,-0.002,0.033,0.009,0.087,1.015,0.998,1.034
"Samara","settlement",0.163,0.146,0.179,0.008,0,1.176,1.157,1.196
